Wed Jun  1 20:12:41 2022    hell/b577a3cf-0f4f-401a-9855-10bb4368bf56.prof

         27508 function calls (27290 primitive calls) in 0.115 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:207(_read_headers)
       48    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       24    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1416(__exit__)
    11/10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:265(_set_defaults)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:434(__init__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:497(get_all)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
       96    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:614(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
       48    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:186(__iter__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:293(header_source_parse)
       48    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:245(_is_magic)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:59(parsestr)
        3    0.000    0.000    0.041    0.014 /opt/python/pynamodb/connection/base.py:1187(query)
       44    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:531(__set_side_effect)
        6    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/ssl.py:1023(sendall)
       12    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:364(urlparse)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:486(readinto)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb_patch.py:148(mock_describe_table)
       24    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:564(get_content_type)
