Wed Jun  1 19:58:27 2022    hell/764cff94-cb38-4084-930a-38b345d600cf.prof

         44865 function calls (44427 primitive calls) in 0.714 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
       59    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       12    0.000    0.000    0.001    0.000 /opt/python/botocore/awsrequest.py:354(_prepare_headers)
       27    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:293(header_source_parse)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:247(__init__)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
      107    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:634(time)
       67    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:681(call_soon)
        3    0.000    0.000    0.338    0.113 /opt/python/botocore/signers.py:318(generate_presigned_url)
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2072(__init__)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1416(__exit__)
        6    0.000    0.000    0.004    0.001 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:480(read)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/genericpath.py:121(_splitext)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
        3    0.000    0.000    0.101    0.034 /opt/python/pynamodb/connection/base.py:1187(query)
       60    0.000    0.000    0.001    0.000 /opt/python/botocore/utils.py:874(__get__)
       66    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:207(_read_headers)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:1476(makeRecord)
      162    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:304(_set)
       14    0.000    0.000    0.523    0.037 /opt/python/config_file.py:62(wrapper)
      379    0.000    0.000    0.000    0.000 /opt/python/pynamodb/indexes.py:168(<lambda>)
       11    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/codec/ber/decoder.py:107(valueDecoder)
        3    0.000    0.000    0.000    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:486(readinto)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:139(__init__)
       30    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:165(_sign)
        6    0.000    0.000    0.002    0.000 /opt/python/aiohttp/resolver.py:28(resolve)
        3    0.000    0.000    0.000    0.000 /opt/python/botocore/signers.py:357(build_policy)
        6    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:434(__init__)
        3    0.000    0.000    0.003    0.001 /opt/python/rsa/key.py:483(_load_pkcs1_der)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:183(dumps)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:891(get)
        6    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client.py:947(close)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
      108    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:163(_resolve_shape_ref)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/__init__.py:299(loads)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:194(__init__)
        3    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:622(_on_handshake_complete)
       27    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:393(create_future)
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:289(__call__)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:850(write)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:351(clone)
       78    0.000    0.000    0.000    0.000 /opt/python/rsa/pem.py:36(_pem_lines)
       18    0.000    0.000    0.016    0.001 /var/lang/lib/python3.7/unittest/mock.py:950(_get_child_mock)
    11/10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:265(_set_defaults)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:497(get_all)
       31    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        7    0.000    0.000    0.003    0.000 /opt/python/pynamodb_patch.py:148(mock_describe_table)
        1    0.000    0.000    0.046    0.046 /opt/python/urllib3/connection.py:307(connect)
        6    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/email/parser.py:41(parse)
       36    0.000    0.000    0.003    0.000 /var/lang/lib/python3.7/logging/__init__.py:1516(handle)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:262(__init__)
       48    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:245(_is_magic)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.005    0.005 /var/lang/lib/python3.7/ssl.py:813(_create)
        6    0.000    0.000    0.002    0.000 /opt/python/aiohttp/connector.py:806(_resolve_host)
       11    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:281(_set_attributes)
       60    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:128(__next__)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/functools.py:37(update_wrapper)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:121(splitext)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:665(call_at)
       60    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:78(readline)
       54    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       96    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:614(<genexpr>)
       24    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:291(_wait)
        5    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:243(__init__)
