Wed Jun  1 19:58:25 2022    hell/14704d94-cd00-47a4-b0db-183a60192de1.prof

         45158 function calls (44720 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.013    0.001 /opt/python/botocore/awsrequest.py:354(_prepare_headers)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
       54    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:880(start)
      166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    20/16    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:28(serialize)
       70    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:681(call_soon)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/response.py:193(__init__)
       16    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
       38    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/posixpath.py:144(basename)
       24    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_proto.py:190(data_received)
        6    0.000    0.000    0.001    0.000 /opt/python/yarl/_url.py:145(__new__)
       11    0.000    0.000    0.003    0.000 /opt/python/pynamodb/indexes.py:134(_get_schema)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:183(dumps)
      452    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:850(write)
       28    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/typing.py:814(__new__)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:247(__init__)
      162    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:304(_set)
       28    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:289(__call__)
       78    0.000    0.000    0.000    0.000 /opt/python/rsa/pem.py:36(_pem_lines)
      379    0.000    0.000    0.000    0.000 /opt/python/pynamodb/indexes.py:168(<lambda>)
       11    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
        6    0.000    0.000    0.017    0.003 /opt/python/pynamodb_patch.py:94(_create_prepared_request)
