Wed Jun  1 19:58:28 2022    hell/87ee9e9d-3045-4347-be69-451e25a12ac5.prof

         44700 function calls (44262 primitive calls) in 0.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/connector.py:206(__init__)
       65    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:681(call_soon)
       72    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       80    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:1111(_serialize_value)
        6    0.000    0.000    0.016    0.003 /opt/python/botocore/auth.py:299(canonical_request)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:183(dumps)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
      186    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:299(_get)
       10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
       36    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/logging/__init__.py:1476(makeRecord)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:262(__init__)
       11    0.000    0.000    0.003    0.000 /opt/python/pynamodb/indexes.py:134(_get_schema)
       16    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
      452    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       30    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:165(_sign)
      234    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
        6    0.000    0.000    0.000    0.000 /opt/python/urllib3/response.py:193(__init__)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/uuid.py:121(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       14    0.000    0.000    0.556    0.040 /opt/python/config_file.py:62(wrapper)
       11    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
        6    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:480(read)
        3    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:247(__init__)
       26    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
       78    0.000    0.000    0.000    0.000 /opt/python/rsa/pem.py:36(_pem_lines)
       24    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_proto.py:190(data_received)
      162    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:304(_set)
       13    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:1416(__exit__)
        6    0.000    0.000    0.018    0.003 /opt/python/pynamodb_patch.py:120(_patched_convert_to_request_dict)
       47    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/enum.py:289(__call__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:120(__init__)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      150    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:2072(__init__)
      111    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
      151    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.003    0.001 /opt/python/rsa/key.py:483(_load_pkcs1_der)
        6    0.000    0.000    0.020    0.003 /opt/python/aiohttp/resolver.py:28(resolve)
        7    0.000    0.000    0.003    0.000 /opt/python/pynamodb_patch.py:148(mock_describe_table)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:139(__init__)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/type/base.py:351(clone)
       27    0.000    0.000    0.000    0.000 /opt/python/pyasn1/codec/ber/decoder.py:107(valueDecoder)
       18    0.000    0.000    0.016    0.001 /var/lang/lib/python3.7/unittest/mock.py:950(_get_child_mock)
      379    0.000    0.000    0.000    0.000 /opt/python/pynamodb/indexes.py:168(<lambda>)
       12    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/asyncio/selector_events.py:850(write)
       36    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/genericpath.py:121(_splitext)
        4    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:819(serialize)
       66    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:207(_read_headers)
        6    0.000    0.000    0.020    0.003 /opt/python/aiohttp/connector.py:806(_resolve_host)
    11/10    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:265(_set_defaults)
        3    0.000    0.000    0.119    0.040 /opt/python/pynamodb/connection/base.py:1187(query)
       60    0.000    0.000    0.001    0.000 /opt/python/botocore/utils.py:874(__get__)
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:497(get_all)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/selectors.py:180(get_key)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client.py:891(get)
       25    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:393(create_future)
        6    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:486(readinto)
       14    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/selectors.py:69(__getitem__)
       42    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/_policybase.py:293(header_source_parse)
        3    0.000    0.000    0.019    0.006 /var/lang/lib/python3.7/concurrent/futures/thread.py:176(_adjust_thread_count)
        1    0.000    0.000    0.046    0.046 /opt/python/urllib3/connection.py:307(connect)
       22    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/threading.py:335(notify)
        6    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client.py:947(close)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:723(__init__)
        6    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
        1    0.000    0.000    0.011    0.011 /var/lang/lib/python3.7/ssl.py:813(_create)
       18    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/logging/__init__.py:1368(info)
       36    0.000    0.000    0.004    0.000 /var/lang/lib/python3.7/logging/__init__.py:1516(handle)
      273    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /opt/python/pynamodb/connection/base.py:243(__init__)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/selectors.py:234(register)
       10    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       48    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:245(_is_magic)
