Wed Jun  1 19:11:00 2022    hell/123.prof

         51934 function calls (51370 primitive calls) in 1.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/logging/__init__.py:1570(callHandlers)
  598/565    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       22    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
       61    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:95(serialization)
        7    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
       95    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
      881    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       40    0.000    0.000    0.016    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
       86    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
      581    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:56(attr_name)
       35    0.000    0.000    0.018    0.001 /var/lang/lib/python3.7/logging/__init__.py:1491(_log)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:249(__init__)
       24    0.000    0.000    0.013    0.001 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
       69    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:710(_call_soon)
        3    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_reqrep.py:609(send)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/streams.py:175(feed_eof)
     30/7    0.000    0.000    0.013    0.002 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
        2    0.000    0.000    0.077    0.039 /opt/python/urllib3/connection.py:307(connect)
        7    0.000    0.000    0.001    0.000 /opt/python/pynamodb/models.py:837(_get_schema)
        7    0.000    0.000    0.000    0.000 /opt/python/urllib3/response.py:193(__init__)
       35    0.000    0.000    0.014    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.801    0.267 /var/lang/lib/python3.7/asyncio/base_events.py:528(run_forever)
        7    0.000    0.000    0.004    0.001 /opt/python/botocore/auth.py:355(add_auth)
        9    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:139(__init__)
       27    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
        7    0.000    0.000    0.013    0.002 /opt/python/pynamodb_patch.py:182(_get_connection)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
      177    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       84    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       83    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
        6    0.000    0.000    0.014    0.002 /opt/python/botocore/serialize.py:334(serialize_to_request)
       14    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       28    0.000    0.000    0.007    0.000 /var/lang/lib/python3.7/asyncio/sslproto.py:520(data_received)
       29    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/_collections_abc.py:664(__contains__)
        3    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:247(__init__)
      316    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:80(_is_map_attribute_class_object)
       39    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/asyncio/base_events.py:1672(_add_callback)
        2    0.000    0.000    0.024    0.012 /var/lang/lib/python3.7/ssl.py:813(_create)
        6    0.000    0.000    0.000    0.000 /opt/python/aiohttp/client_reqrep.py:880(start)
      316    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
       35    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       30    0.000    0.000    0.001    0.000 /opt/python/aiohttp/client_proto.py:190(data_received)
      349    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
