Wed Jun  1 19:58:30 2022    hell/e22a8422-eacf-40b9-9d93-cc9ca8f614b4.prof

         58324 function calls (57579 primitive calls) in 1.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/socket.py:221(makefile)
       79    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/decoder.py:332(decode)
       21    0.000    0.000    0.000    0.000 /opt/python/urllib3/util/url.py:210(_encode_invalid_chars)
      140    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/_collections_abc.py:657(get)
       13    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
       46    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/feedparser.py:471(_parse_headers)
       52    0.000    0.000    0.019    0.000 /var/lang/lib/python3.7/logging/__init__.py:881(handle)
       46    0.000    0.000    0.017    0.000 {built-in method builtins.print}
    50/47    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:265(_set_defaults)
      282    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/re.py:315(filter)
  948/915    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1193    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       30    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/unittest/mock.py:390(__init__)
      107    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:64(__set__)
  148/138    0.000    0.000    0.002    0.000 /opt/python/botocore/utils.py:874(__get__)
        7    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/http/client.py:1081(putrequest)
       46    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:360(getMessage)
      115    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:784(__setattr__)
       14    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/feedparser.py:218(_parsegen)
      163    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:618(resolve_shape_ref)
       84    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        7    0.000    0.000    0.002    0.000 /var/lang/lib/python3.7/http/client.py:1283(_send_request)
       90    0.000    0.000    0.013    0.000 /var/lang/lib/python3.7/logging/__init__.py:1356(debug)
       42    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/message.py:459(<listcomp>)
        7    0.000    0.000    0.139    0.020 /var/lang/lib/python3.7/http/client.py:312(begin)
       14    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:316(<listcomp>)
        7    0.000    0.000    0.000    0.000 /opt/python/urllib3/poolmanager.py:74(_default_key_normalizer)
        9    0.000    0.000    0.014    0.002 /opt/python/pynamodb_patch.py:182(_get_connection)
       69    0.000    0.000    0.137    0.002 {method 'readline' of '_io.BufferedReader' objects}
       78    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     44/7    0.000    0.000    0.010    0.001 /opt/python/botocore/serialize.py:364(_serialize_type_structure)
        1    0.000    0.000    0.883    0.883 /var/task/main_v1.py:25(handle)
        7    0.000    0.000    0.265    0.038 /opt/python/aws_xray_sdk/core/recorder.py:425(record_subsegment)
        4    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
       79    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/json/__init__.py:299(loads)
       24    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:819(serialize)
       30    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/unittest/mock.py:994(__init__)
       63    0.000    0.000    0.000    0.000 /opt/python/botocore/model.py:95(serialization)
      352    0.000    0.000    0.001    0.000 /var/lang/lib/python3.7/email/_policybase.py:311(header_fetch_parse)
      946    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       98    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:736(filter)
      107    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/logging/__init__.py:1614(isEnabledFor)
    120/1    0.000    0.000    0.009    0.009 /opt/python/botocore/validate.py:168(_validate)
       15    0.000    0.000    0.009    0.001 /var/lang/lib/python3.7/unittest/mock.py:1286(__enter__)
        1    0.000    0.000    0.124    0.124 /opt/python/analytics/messages.py:83(send_messages)
        6    0.000    0.000    0.001    0.000 /opt/python/aws_xray_sdk/ext/pynamodb/patch.py:58(pynamodb_meta_processor)
       92    0.000    0.000    0.017    0.000 /var/runtime/bootstrap.py:256(write)
       74    0.000    0.000    0.000    0.000 {method 'copy' of 'collections.OrderedDict' objects}
       22    0.000    0.000    0.001    0.000 /opt/python/botocore/model.py:176(members)
       14    0.000    0.000    0.001    0.000 /opt/python/botocore/auth.py:172(headers_to_sign)
       27    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/queue.py:121(put)
        7    0.000    0.000    0.001    0.000 /opt/python/urllib3/response.py:580(from_httplib)
       19    0.000    0.000    0.000    0.000 /opt/python/pynamodb/attributes.py:933(_fast_parse_utc_datestring)
        7    0.000    0.000    0.000    0.000 /opt/python/botocore/auth.py:238(canonical_headers)
        7    0.000    0.000    0.001    0.000 /opt/python/urllib3/util/url.py:330(parse_url)
       24    0.000    0.000    0.005    0.000 /var/lang/lib/python3.7/unittest/mock.py:1900(__init__)
        1    0.000    0.000    0.680    0.680 /opt/python/rewards/reward_redeemer.py:245(redeem_rewards_for_player)
    50/47    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:227(__init__)
      314    0.000    0.000    0.000    0.000 /opt/python/botocore/awsrequest.py:585(__hash__)
      318    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/utils.py:51(_has_surrogates)
        6    0.000    0.000    0.011    0.002 /opt/python/botocore/serialize.py:334(serialize_to_request)
      239    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       39    0.000    0.000    0.154    0.004 {method 'run' of 'Context' objects}
        6    0.000    0.000    0.190    0.032 /opt/python/pynamodb/connection/base.py:323(dispatch)
      513    0.000    0.000    0.000    0.000 /opt/python/pynamodb/models.py:876(<lambda>)
        7    0.000    0.000    0.000    0.000 /opt/python/aws_xray_sdk/core/models/entity.py:267(to_dict)
        7    0.000    0.000    0.004    0.001 /opt/python/botocore/auth.py:355(add_auth)
        2    0.000    0.000    0.088    0.044 /opt/python/urllib3/connection.py:307(connect)
      564    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       12    0.000    0.000    0.137    0.011 /opt/python/config_file.py:182(_download_async)
        1    0.000    0.000    0.000    0.000 /opt/python/shop.py:454(as_dict)
      8/1    0.000    0.000    0.009    0.009 /opt/python/botocore/validate.py:224(_validate_map)
     28/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       43    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:683(__init__)
       92    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       54    0.000    0.000    0.011    0.000 /var/lang/lib/python3.7/unittest/mock.py:1012(__call__)
      100    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/urllib/parse.py:415(_remove_unsafe_bytes_from_url)
       48    0.000    0.000    0.001    0.000 /opt/python/pynamodb/attributes.py:281(_set_attributes)
       63    0.000    0.000    0.000    0.000 /var/lang/lib/python3.7/email/message.py:462(get)
      237    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fa40e9cf460}
        5    0.000    0.000    0.002    0.000 /opt/python/aiohttp/client.py:345(_request)
       11    0.000    0.000    0.000    0.000 /opt/python/pynamodb/expressions/operand.py:232(__init__)
        7    0.000    0.000    0.000    0.000 /opt/python/aws_xray_sdk/core/models/entity.py:30(__init__)
       83    0.000    0.000    0.000    0.000 /opt/python/urllib3/_collections.py:155(__getitem__)
     10/1    0.000    0.000    0.001    0.001 /opt/python/pyasn1/codec/ber/decoder.py:1307(__call__)
